20
10
3 4 5
1H -> 0
1D -> 0
2H -> 0
2D -> 0
3H -> 0
3D -> 0
4H -> 0
4D -> 0
5H -> 0
5D -> 0
6H -> 0
6D -> 0
7H -> 7
7D -> 20
8H -> 8
1D 3D 12H -> 12
1D 3D 12D -> 25
1D 3D 13H -> 13
1D 3D 13D -> 26
1D 4H 4D -> 4
1D 4H 5H -> 4
1D 4H 5D -> 4
1D 4H 6H -> 6
1D 4H 6D -> 19
1D 4H 7H -> 7
1D 4H 7D -> 20
1D 4H 8H -> 8
1D 4H 8D -> 21
1D 4H 9H -> 9
1D 4H 9D -> 22
1D 4H 10H -> 10
1D 4H 10D -> 23
1D 4H 11H -> 11
1D 4H 11D -> 24
1D 4H 12H -> 12
1D 4H 12D -> 25
1D 4H 13H -> 13
1D 4H 13D -> 26
1D 4D 5H -> 17
1D 4D 5D -> 17
1D 4D 6H -> 6
1D 4D 6D -> 19
1D 4D 7H -> 7
1D 4D 7D -> 20
1D 4D 8H -> 8
1D 4D 8D -> 21
1D 4D 9H -> 9
1D 4D 9D -> 22
1D 4D 10H -> 10
1D 4D 10D -> 23
1D 4D 11H -> 11
1D 4D 11D -> 24
1D 4D 12H -> 12
1D 4D 12D -> 25
1D 4D 13H -> 13
1D 4D 13D -> 26
1D 5H 5D -> 18
1D 5H 6H -> 6
1D 5H 6D -> 19
1D 5H 7H -> 7
1D 5H 7D -> 20
1D 5H 8H -> 8
1D 5H 8D -> 21
1D 5H 9H -> 9
1D 5H 9D -> 22
1D 5H 10H -> 10
1D 5H 10D -> 23
1D 5H 11H -> 11
1D 5H 11D -> 24
1D 5H 12H -> 12
1D 5H 12D -> 25
1D 5H 13H -> 13
1D 5H 13D -> 26
1D 5D 6H -> 6
1D 5D 6D -> 19
1D 5D 7H -> 7
1D 5D 7D -> 20
1D 5D 8H -> 8
1D 5D 8D -> 21
1D 5D 9H -> 9
1D 5D 9D -> 22
1D 5D 10H -> 10
1D 5D 10D -> 23
1D 5D 11H -> 11
1D 5D 11D -> 24
1D 5D 12H -> 12
1D 5D 12D -> 25
1D 5D 13H -> 13
1D 5D 13D -> 26
1D 6H 6D -> 6
1D 6H 7H -> 7
1D 6H 7D -> 20
1D 6H 8H -> 8
1D 6H 8D -> 21
1D 6H 9H -> 9
1D 6H 9D -> 22
1D 6H 10H -> 27
1D 6H 10D -> 27
1D 6H 11H -> 27
1D 6H 11D -> 27
1D 6H 12H -> 27
1D 6H 12D -> 27
1D 6D 7H -> 7
1D 6D 7D -> 20
1D 6D 8H -> 8
1D 6D 8D -> 21
1D 6D 9H -> 9
1D 6D 9D -> 22
1D 6D 10H -> 27
1D 6D 10D -> 27
1D 6D 11H -> 27
1D 6D 11D -> 27
1D 6D 12H -> 27
1D 6D 12D -> 27
1D 7H 7D -> 27
1D 7H 8H -> 27
1D 7H 8D -> 27
1D 7H 9H -> 27
1D 7H 9D -> 27
1D 7H 10H -> 27
1D 7H 10D -> 27
